rank,headline,editorial_decision,caption_variant,caption
6,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,carousel,"Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
6,Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship,Maybe Post,story,"Georgia Track & Field Secures 2nd Consecutive NCAA Outdoor Championship

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #TrackAndField"
7,PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft,Save for Weekend,feed,"PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft

Quick hit: PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft

Why it matters: This is a useful update, but it should be weighed against stronger stories.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
7,PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft,Save for Weekend,carousel,"PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft

PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft

Why it matters: This is a useful update, but it should be weighed against stronger stories.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
7,PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft,Save for Weekend,story,"PWHL Draft: 15 Sleeper Picks Not To Ignore In The 2026 PWHL Draft

Quick hit: This is a useful update, but it should be weighed against stronger stories.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #PWHL #WomensHockey"
8,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,feed,"Gotham FC announces first-ever ‘dedicated’ training facility

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
8,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,carousel,"Gotham FC announces first-ever ‘dedicated’ training facility

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
8,Gotham FC announces first-ever ‘dedicated’ training facility,Save for Weekend,story,"Gotham FC announces first-ever ‘dedicated’ training facility

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #NWSL #USWNT #WomensSoccer"
9,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",Save for Weekend,feed,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews #Cricket"
9,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",Save for Weekend,carousel,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews #Cricket"
9,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?",Save for Weekend,story,"India women's vs Pakistan women's head-to-head record: Who has won more matches in T20Is, ODIs and ICC World Cups?

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews #Cricket"
10,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,feed,"Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships

A milestone worth putting into context.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Follow Her Sports Daily for daily women's sports coverage.

#WomensSports #HerSportsDaily #SportsNews"
10,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,carousel,"Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships

This is the kind of milestone that shows where the game is headed.

Why it matters: Records and milestones are proof points for the rise of women's sports.

Swipe through for the quick breakdown.

#WomensSports #HerSportsDaily #SportsNews"
10,Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships,Save for Weekend,story,"Arkansas' Sanu Jallow sets women's 800m collegiate record at 2026 NCAA Championships

Quick hit: Records and milestones are proof points for the rise of women's sports.

Want more? Follow Her Sports Daily.

#WomensSports #HerSportsDaily #SportsNews"
