rank,headline,template_name,headline_max_70,subhead_max_110,footer_max_45,slide_number,slide_role,slide_title,slide_body_max_120
3,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Milestone Graphic Template,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,3,Angle,The angle,A milestone worth putting into context.
3,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since 1992,Milestone Graphic Template,Mirra Andreeva Becomes Youngest French Open Women’s Champion Since,Records and milestones are proof points for the rise of women's sports.,More women's sports daily,4,CTA,Your take on this Tennis story?,Follow Her Sports Daily for more.
4,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Tonight in the W 4-Slide Template,Dream's Angel Reese is setting such a dominant record that her only,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Dream's Angel Reese is setting such a dominant record,The story you need to know.
4,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Tonight in the W 4-Slide Template,Dream's Angel Reese is setting such a dominant record that her only,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
4,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Tonight in the W 4-Slide Template,Dream's Angel Reese is setting such a dominant record that her only,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
4,Dream's Angel Reese is setting such a dominant record that her only competition is an NBA star,Tonight in the W 4-Slide Template,Dream's Angel Reese is setting such a dominant record that her only,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
5,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Tonight in the W 4-Slide Template,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,1,Hook,Washington Coach Sydney Johnson Ejected in Blowout,The story you need to know.
5,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Tonight in the W 4-Slide Template,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,2,Context,The milestone,Records and milestones are proof points for the rise of women's sports.
5,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Tonight in the W 4-Slide Template,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,3,Angle,The angle,A milestone worth putting into context.
5,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream Loss,Tonight in the W 4-Slide Template,Washington Coach Sydney Johnson Ejected in Blowout Mystics vs Dream,Records and milestones are proof points for the rise of women's sports.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
6,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Growth Carousel Template,Toronto and Portland are in the middle of the standings a month into,Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,1,Hook,Toronto and Portland are in the middle of the,The story you need to know.
6,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Growth Carousel Template,Toronto and Portland are in the middle of the standings a month into,Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,2,Context,The number to know,Expansion stories show where fan demand and investor confidence are rising.
6,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Growth Carousel Template,Toronto and Portland are in the middle of the standings a month into,Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,3,Angle,Why this matters,Another sign that women's sports demand is outgrowing the old model.
6,Toronto and Portland are in the middle of the standings a month into their WNBA expansion seasons,Growth Carousel Template,Toronto and Portland are in the middle of the standings a month into,Expansion stories show where fan demand and investor confidence are rising.,More WNBA coverage daily,4,CTA,Your take on this WNBA story?,Follow Her Sports Daily for more.
7,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for 2026-27",Standard Feed Card Template,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,1,Hook,"Purdue Women's Basketball Big Ten Home, Road Opponents",The story you need to know.
7,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for 2026-27",Standard Feed Card Template,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,2,Context,Why it matters,"This is a useful update, but it should be weighed against stronger stories."
7,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for 2026-27",Standard Feed Card Template,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,3,Angle,The angle,"Quick hit: Purdue Women's Basketball Big Ten Home, Road Opponents Announced for 2026-27"
7,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for 2026-27",Standard Feed Card Template,"Purdue Women's Basketball Big Ten Home, Road Opponents Announced for","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,4,CTA,Your take on this NCAA Women's Basketball story?,Follow Her Sports Daily for more.
8,"Big Ten announces home, road matchups for Wisconsin women's basketball",Standard Feed Card Template,"Big Ten announces home, road matchups for Wisconsin women's basketball","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,1,Hook,"Big Ten announces home, road matchups for Wisconsin",The story you need to know.
8,"Big Ten announces home, road matchups for Wisconsin women's basketball",Standard Feed Card Template,"Big Ten announces home, road matchups for Wisconsin women's basketball","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,2,Context,Why it matters,"This is a useful update, but it should be weighed against stronger stories."
8,"Big Ten announces home, road matchups for Wisconsin women's basketball",Standard Feed Card Template,"Big Ten announces home, road matchups for Wisconsin women's basketball","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,3,Angle,The angle,"Quick hit: Big Ten announces home, road matchups for Wisconsin women's basketball"
8,"Big Ten announces home, road matchups for Wisconsin women's basketball",Standard Feed Card Template,"Big Ten announces home, road matchups for Wisconsin women's basketball","This is a useful update, but it should be weighed against stronger stories.",More women's hoops daily,4,CTA,Your take on this NCAA Women's Basketball story?,Follow Her Sports Daily for more.
9,Toronto Sceptres Pushing Through Expansion Process,Growth Carousel Template,Toronto Sceptres Pushing Through Expansion Process,Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,1,Hook,Toronto Sceptres Pushing Through Expansion Process,The story you need to know.
9,Toronto Sceptres Pushing Through Expansion Process,Growth Carousel Template,Toronto Sceptres Pushing Through Expansion Process,Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,2,Context,The number to know,Expansion stories show where fan demand and investor confidence are rising.
9,Toronto Sceptres Pushing Through Expansion Process,Growth Carousel Template,Toronto Sceptres Pushing Through Expansion Process,Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,3,Angle,Why this matters,Another sign that women's sports demand is outgrowing the old model.
9,Toronto Sceptres Pushing Through Expansion Process,Growth Carousel Template,Toronto Sceptres Pushing Through Expansion Process,Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,4,CTA,Your take on this PWHL / Women's Hockey story?,Follow Her Sports Daily for more.
10,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in PWHL expansion team moves",Growth Carousel Template,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in",Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,1,Hook,"Muller leaves Boston to sign in Hamilton, San Jose",The story you need to know.
10,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in PWHL expansion team moves",Growth Carousel Template,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in",Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,2,Context,The number to know,Expansion stories show where fan demand and investor confidence are rising.
10,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in PWHL expansion team moves",Growth Carousel Template,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in",Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,3,Angle,Why this matters,Another sign that women's sports demand is outgrowing the old model.
10,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in PWHL expansion team moves",Growth Carousel Template,"Muller leaves Boston to sign in Hamilton, San Jose signs O'Neill in",Expansion stories show where fan demand and investor confidence are rising.,More women's sports daily,4,CTA,Your take on this PWHL / Women's Hockey story?,Follow Her Sports Daily for more.
