focus_rank,focus_bucket,focus_reason_flags,priority_label,manual_action_group,source_tier,scope_id,league_id,team_id,team_name,player_name,issue_type,operator_action,source_priority,official_status,confidence,operator_verify_required,source_domain,source_candidate_url,candidate_entity_id,source_proof_status,identity_verification_status,official_profile_url,photo_candidate_status,action_photo_candidate_status,action_photo_starter_intake_file,source_priority_row_ref,triage_row_ref,candidate_action_row_ref,open_next_file,open_next_row_ref,why_row_matters,next_manual_action,do_not_do,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
14,2_p0_roster_or_source_verify,p0_source_or_roster_row|profile_or_official_page_gap|operator_verify_required,P0,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,angel_city_fc,Angel City FC,Maithé López,missing_player_profile_candidate,add_candidate_metadata,P0,official_team,high,yes,angelcity.com,https://angelcity.com/acfc-post/angel-city-football-club-loans-forward-maithe-lopez-to-vancouver-rise-fc,angel_city_fc,official_source_candidate_manual_verification_required,player_identity_manual_verification_required,,verify_official_page_before_photo_review,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=2,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=1,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=35,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=2,Angel City FC is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
15,2_p0_roster_or_source_verify,p1_source_or_roster_row|profile_or_official_page_gap|operator_verify_required,P1,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,gotham_fc,Gotham FC,Princess Ademiluyi; Bruna Santos Nhaia,missing_player_profile_candidate; public_display_alias_review,add_candidate_metadata; add_alias_metadata,P1,official_team,high,yes,www.gothamfc.com,https://www.gothamfc.com/roster,gotham_fc,official_source_candidate_manual_verification_required,player_identity_manual_verification_required,,verify_official_page_before_photo_review,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=23,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=37,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=23,Gotham FC is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
16,2_p0_roster_or_source_verify,gray_area_or_reputable_lead|operator_verify_required,P3,gray_area_reputable_media_lead,gray_area_public_lead,nwsl,nwsl,gotham_fc,Gotham FC,Sam Kerr,gray_area_public_backup_candidate,park_gray_area_lead_for_manual_verification,P3,non_official_reputable_media,low,yes,www.reuters.com,https://www.reuters.com/sports/soccer/reports-gotham-fc-set-reunion-with-f-sam-kerr--flm-2026-06-17/,gotham_fc,official_source_proof_required_before_any_future_intake,player_identity_manual_verification_required,,park_gray_area_lead_no_photo_use,action_photo_parked_no_candidate_selected_until_official_identity_confirmed,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=13,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=27,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=13,Gotham FC is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Park as review-only lead until an official team/league page confirms current roster or player identity.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
17,2_p0_roster_or_source_verify,p1_source_or_roster_row|operator_verify_required,P1,roster_source_verify,official_source_candidate,nwsl,nwsl,kansas_city_current,Kansas City Current,Débora Cristiane de Oliveira,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team,kansas_city_current,official_source_candidate_manual_verification_required,player_identity_manual_verification_required,,nwsl_roster_verify_before_photo_review,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=24,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=2,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=24,Kansas City Current is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
18,2_p0_roster_or_source_verify,p1_source_or_roster_row|profile_or_official_page_gap|operator_verify_required,P1,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,kansas_city_current,Kansas City Current,Kaylin Williams-Mosier,missing_player_profile_candidate,add_candidate_metadata,P1,official_team,high,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team/kaylin-williams-mosier,kansas_city_current,official_source_candidate_manual_verification_required,player_identity_manual_verification_required,,verify_official_page_before_photo_review,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=26,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=5,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=38,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=26,Kansas City Current is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
19,2_p0_roster_or_source_verify,p0_source_or_roster_row|profile_or_official_page_gap|operator_verify_required,P0; P1,official_page_missing_or_season_rollover_verify,official_source_candidate,nwsl,nwsl,san_diego_wave_fc,San Diego Wave FC,Sandra Paños; Amelia Donna Van Zanten; Gabrielle Jordão Portilho; Ludmila da Silva; Maria Eduarda Rodrigues Silva,missing_player_profile_candidate; public_display_alias_review,add_candidate_metadata; add_alias_metadata,P0; P1,official_team,high,yes,sandiegowavefc.com,https://sandiegowavefc.com/roster/,san_diego_wave_fc,official_source_candidate_manual_verification_required,player_identity_manual_verification_required,,verify_official_page_before_photo_review,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=12,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=6,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=39,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=12,San Diego Wave FC is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Open the official source page and verify whether roster/profile URL patterns changed before adding future intake.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
20,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,arsenal_women,Arsenal Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/arsenal/squad,arsenal_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=56,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=56,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=56,Arsenal Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
21,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,aston_villa_women,Aston Villa Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/aston-villa/squad,aston_villa_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=57,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=57,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=57,Aston Villa Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
22,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,brighton_and_hove_albion_women,Brighton & Hove Albion Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/brighton-hove-albion/squad,brighton_and_hove_albion_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=58,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=58,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=58,Brighton & Hove Albion Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
23,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,chelsea_women,Chelsea Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/chelsea/squad,chelsea_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=59,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=59,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=59,Chelsea Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
24,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,everton_women,Everton Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/everton/squad,everton_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=60,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=60,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=60,Everton Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
25,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,leicester_city_women,Leicester City Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/leicester-city/squad,leicester_city_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=61,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=61,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=61,Leicester City Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
26,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,liverpool_women,Liverpool Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/liverpool/squad,liverpool_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=62,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=62,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=62,Liverpool Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
27,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,london_city_lionesses,London City Lionesses,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/london-city-lionesses/squad,london_city_lionesses,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=63,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=63,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=63,London City Lionesses is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
28,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,manchester_city_women,Manchester City Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/manchester-city/squad,manchester_city_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=64,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=64,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=64,Manchester City Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
29,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,manchester_united_women,Manchester United Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/manchester-united/squad,manchester_united_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=65,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=65,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=65,Manchester United Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
30,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,tottenham_hotspur_women,Tottenham Hotspur Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/tottenham-hotspur/squad,tottenham_hotspur_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=66,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=66,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=66,Tottenham Hotspur Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
31,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_TEAM,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,wsl_england,west_ham_united_women,West Ham United Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_TEAM,official_league,high,no,wslfootball.com,https://www.wslfootball.com/clubs/west-ham-united/squad,west_ham_united_women,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=67,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=67,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=67,West Ham United Women is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
32,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_ROSTER,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,liga_f_spain,alhama_cf_elpozo,Alhama CF ElPozo,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_ROSTER,official_league,high,no,ligaf.es,https://ligaf.es/equipo/alhama-cf-femenino/20478/plantilla/2026,alhama_cf_elpozo,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=68,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=8,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=68,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=68,Alhama CF ElPozo is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
33,2_p0_roster_or_source_verify,p0_source_or_roster_row|future_intake_prep_only,P0_OFFICIAL_LEAGUE_ROSTER,future_quarantine_download_intake_prep,official_source_candidate,europe_top_flight,liga_f_spain,athletic_club,Athletic Club,,official_source_map,source_metadata_review_only,P0_OFFICIAL_LEAGUE_ROSTER,official_league,high,no,ligaf.es,https://ligaf.es/equipo/athletic-club-femenino/8845/plantilla/2026,athletic_club,official_source_candidate_manual_verification_required,team_or_roster_scope_not_player_specific,,future_quarantine_download_intake_prep,action_photo_starter_intake_available_no_candidate_selected,data/asset_registry/action_photo_candidates/review_only_womens_soccer_action_photo_starter_intake.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=69,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=8,data/asset_registry/womens_soccer/womens_soccer_athlete_candidate_next_action_board.csv#row=69,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=69,Athletic Club is a P0 roster/source verification row; open the source and triage refs before any candidate-state writeback.,Prepare future human intake only; generated fields do not authorize quarantine download or asset approval.,"Do not download assets, write headshots, approve candidates, create .approved markers, move files, or publish from this generated row.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
