candidate_action_rank,manual_action_group,source_tier,research_lane,scope_id,league_id,team_id,team_name,player_name,issue_type,operator_action,source_priority,official_status,confidence,operator_verify_required,source_domain,source_candidate_url,source_priority_row_ref,source_priority_file,triage_row_ref,triage_file,candidate_entity_id,linked_queue_bucket,render_readiness,next_manual_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
11,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,juventus_women,Juventus Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,juventus.com,https://www.juventus.com/en/teams/first-team-women/squad/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=40,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,juventus_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
12,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,lazio_women,Lazio Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,sslazio.it,https://www.sslazio.it/it/team/lazio-prima-squadra-femminile/squadra,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=41,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,lazio_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
13,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,napoli_femminile,Napoli Femminile,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,napolifemminile.it,https://napolifemminile.it/rosa/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=42,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,napoli_femminile,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
14,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,parma_women,Parma Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium_high,yes,parmacalcio1913.com,https://www.parmacalcio1913.com/prima-squadra-femminile/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=43,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,parma_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
15,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,as_saint_etienne_women,AS Saint-Etienne Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,asse.fr,https://www.asse.fr/fr/feminines/saison-2025-2026/arkema-premiere-ligue,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=44,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,as_saint_etienne_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
16,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,dijon_fco_women,Dijon FCO Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,dfco.fr,https://www.dfco.fr/effectifs/division-1-feminine/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=45,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,dijon_fco_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
17,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,fc_fleury_91_women,FC Fleury 91 Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium,yes,fcfleury91.fr,https://www.fcfleury91.fr/effectif-arkemapl,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=46,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,fc_fleury_91_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
18,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,fc_nantes_women,FC Nantes Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium,yes,fcnantes.com,https://www.fcnantes.com/feminines/20252026/effectifD1F.php,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=47,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,fc_nantes_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
19,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,le_havre_ac_women,Le Havre AC Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,hac.football,https://hac.football/fr/players?competition=FD1,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=48,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,le_havre_ac_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
20,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,mhsc_feminines,MHSC Feminines,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium_high,yes,mhscfoot.com,https://mhscfoot.com/en/effectif/2025-2026/d1-feminines/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=49,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,mhsc_feminines,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
21,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,ol_lyonnes,OL Lyonnes,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,ol-lyonnes.com,https://www.ol-lyonnes.com/saison-25-26/effectif/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=50,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,ol_lyonnes,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
22,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,olympique_marseille_women,Olympique Marseille Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,om.fr,https://www.om.fr/en/team/women,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=51,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,olympique_marseille_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
23,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,paris_fc_women,Paris FC Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,parisfc.fr,https://parisfc.fr/pro-femme/joueuses-staff/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=52,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,paris_fc_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
24,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,paris_saint_germain_women,Paris Saint-Germain Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,psg.fr,https://www.psg.fr/football-feminin/effectif,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=53,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,paris_saint_germain_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
25,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,rc_lens_women,RC Lens Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,rclens.fr,https://www.rclens.fr/fr/feminines/joueuses,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=54,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,rc_lens_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
26,roster_source_verify,official_source_candidate,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,rc_strasbourg_alsace_women,RC Strasbourg Alsace Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium_high,yes,rcstrasbourgalsace.fr,https://www.rcstrasbourgalsace.fr/equipe-arkema-premiere-ligue-25-26/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=55,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=11,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,rc_strasbourg_alsace_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Open the official or advisory roster source manually and verify source quality before any future candidate-state writeback.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
27,gray_area_reputable_media_lead,gray_area_public_lead,nwsl_correction_enrichment,nwsl,nwsl,gotham_fc,Gotham FC,Sam Kerr,gray_area_public_backup_candidate,park_gray_area_lead_for_manual_verification,P3,non_official_reputable_media,low,yes,www.reuters.com,https://www.reuters.com/sports/soccer/reports-gotham-fc-set-reunion-with-f-sam-kerr--flm-2026-06-17/,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=13,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=3,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,gotham_fc,p0_nwsl_roster_verification_first,not_render_ready_review_only,Park as review-only lead until an official team/league page confirms current roster or player identity.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
28,gray_area_reputable_media_lead,gray_area_public_lead,europe_official_source_map,europe_top_flight,wsl_england,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_NON_OFFICIAL_LEAGUE_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/womens-super-league/startseite/wettbewerb_ENG1.html,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=14,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=7,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,all_teams_backup,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Park as review-only lead until an official team/league page confirms current roster or player identity.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
29,gray_area_reputable_media_lead,gray_area_public_lead,europe_official_source_map,europe_top_flight,liga_f_spain,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_NON_OFFICIAL_LEAGUE_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/primera-division-femenina/startseite/wettbewerb_ESP1.html,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=15,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=8,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,all_teams_backup,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Park as review-only lead until an official team/league page confirms current roster or player identity.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
30,gray_area_reputable_media_lead,gray_area_public_lead,europe_official_source_map,europe_top_flight,frauen_bundesliga_germany,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_GRAY_AREA_LEAGUE_BACKUP,gray_area_public_source,low_medium,yes,globalsportsarchive.com,https://globalsportsarchive.com/en/soccer/competition/google-pixel-frauen-bundesliga-2025-2026/76011,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=16,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=9,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,all_teams_backup,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Park as review-only lead until an official team/league page confirms current roster or player identity.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
31,gray_area_reputable_media_lead,gray_area_public_lead,europe_official_source_map,europe_top_flight,serie_a_women_italy,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_NON_OFFICIAL_LEAGUE_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/serie-a-women/startseite/wettbewerb_IT1.html,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=17,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,all_teams_backup,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Park as review-only lead until an official team/league page confirms current roster or player identity.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
32,gray_area_reputable_media_lead,gray_area_public_lead,europe_official_source_map,europe_top_flight,serie_a_women_italy,sassuolo_women,Sassuolo Women,,official_source_map,source_metadata_review_only,P1_NON_OFFICIAL_ROSTER_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/us-sassuolo/startseite/verein_6329.html,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=18,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,sassuolo_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Park as review-only lead until an official team/league page confirms current roster or player identity.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
33,gray_area_reputable_media_lead,gray_area_public_lead,europe_official_source_map,europe_top_flight,serie_a_women_italy,ternana_women,Ternana Women,,official_source_map,source_metadata_review_only,P1_NON_OFFICIAL_ROSTER_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/ternana-women/kader/verein_7549.html,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv#row=19,data/asset_registry/womens_soccer/womens_soccer_athlete_source_priority.csv,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv#row=10,data/asset_registry/womens_soccer/womens_soccer_athlete_review_triage.csv,ternana_women,p1_europe_gray_area_source_review,not_render_ready_source_candidate_only,Park as review-only lead until an official team/league page confirms current roster or player identity.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
