source_priority_rank,source_review_bucket,source_candidate_level,research_lane,scope_id,league_id,league_name,team_id,team_name,player_name,issue_type,operator_action,source_priority,official_status,confidence,operator_verify_required,source_domain,source_candidate_url,linked_queue_bucket,linked_first_action_bucket,linked_missing_local_candidate_rows,render_readiness,safe_next_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
17,2_gray_area_or_reputable_manual_verify,gray_area_manual_verify,europe_official_source_map,europe_top_flight,liga_f_spain,Liga F,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_NON_OFFICIAL_LEAGUE_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/primera-division-femenina/startseite/wettbewerb_ESP1.html,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,16,not_render_ready_source_candidate_only,Park as a manual source lead until an official roster/profile page confirms it; do not treat it as official.,no,,all_teams_backup,,,,,,true,false,false,false,false,false,false,false,false,false,false
18,2_gray_area_or_reputable_manual_verify,gray_area_manual_verify,europe_official_source_map,europe_top_flight,frauen_bundesliga_germany,Frauen-Bundesliga,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_GRAY_AREA_LEAGUE_BACKUP,gray_area_public_source,low_medium,yes,globalsportsarchive.com,https://globalsportsarchive.com/en/soccer/competition/google-pixel-frauen-bundesliga-2025-2026/76011,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,14,not_render_ready_source_candidate_only,Park as a manual source lead until an official roster/profile page confirms it; do not treat it as official.,no,,all_teams_backup,,,,,,true,false,false,false,false,false,false,false,false,false,false
19,2_gray_area_or_reputable_manual_verify,gray_area_manual_verify,europe_official_source_map,europe_top_flight,serie_a_women_italy,Serie A Women,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_NON_OFFICIAL_LEAGUE_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/serie-a-women/startseite/wettbewerb_IT1.html,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,not_render_ready_source_candidate_only,Park as a manual source lead until an official roster/profile page confirms it; do not treat it as official.,no,,all_teams_backup,,,,,,true,false,false,false,false,false,false,false,false,false,false
20,2_gray_area_or_reputable_manual_verify,gray_area_manual_verify,europe_official_source_map,europe_top_flight,serie_a_women_italy,Serie A Women,sassuolo_women,Sassuolo Women,,official_source_map,source_metadata_review_only,P1_NON_OFFICIAL_ROSTER_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/us-sassuolo/startseite/verein_6329.html,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,not_render_ready_source_candidate_only,Park as a manual source lead until an official roster/profile page confirms it; do not treat it as official.,no,,sassuolo_women,,,,,,true,false,false,false,false,false,false,false,false,false,false
21,2_gray_area_or_reputable_manual_verify,gray_area_manual_verify,europe_official_source_map,europe_top_flight,serie_a_women_italy,Serie A Women,ternana_women,Ternana Women,,official_source_map,source_metadata_review_only,P1_NON_OFFICIAL_ROSTER_BACKUP,non_official_public_database,medium,yes,soccerdonna.de,https://www.soccerdonna.de/en/ternana-women/kader/verein_7549.html,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,not_render_ready_source_candidate_only,Park as a manual source lead until an official roster/profile page confirms it; do not treat it as official.,no,,ternana_women,,,,,,true,false,false,false,false,false,false,false,false,false,false
22,2_gray_area_or_reputable_manual_verify,gray_area_manual_verify,europe_official_source_map,europe_top_flight,arkema_premiere_ligue_france,Arkema Première Ligue,all_teams_backup,ALL_TEAMS_BACKUP,,official_source_map,source_metadata_review_only,P2_GRAY_AREA_LEAGUE_BACKUP,gray_area_public_source,low_medium,yes,globalsportsarchive.com,https://globalsportsarchive.com/en/soccer/competition/arkema-premiere-ligue-2025-2026/76150,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,not_render_ready_source_candidate_only,Park as a manual source lead until an official roster/profile page confirms it; do not treat it as official.,no,,all_teams_backup,,,,,,true,false,false,false,false,false,false,false,false,false,false
23,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,angel_city_fc,Angel City FC,Ariadina Alves Borges; Maiara Carolina Niehues,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,angelcity.com,https://angelcity.com/club/roster,p0_nwsl_roster_verification_first,1_roster_verification,26,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,angel_city_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
24,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,chicago_stars_fc,Chicago Stars FC,,source_domain_change_candidate,add_source_candidate,P1,official_team,high,yes,chicagostars.com,https://chicagostars.com/roster/,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,chicago_stars_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
25,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,gotham_fc,Gotham FC,Bruna Santos Nhaia,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,www.gothamfc.com,https://www.gothamfc.com/roster,p0_nwsl_roster_verification_first,1_roster_verification,27,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,gotham_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
26,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,gotham_fc,Gotham FC,Princess Ademiluyi,missing_player_profile_candidate,add_candidate_metadata,P1,official_team,high,yes,www.gothamfc.com,https://www.gothamfc.com/roster,p0_nwsl_roster_verification_first,1_roster_verification,27,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,gotham_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
27,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,,source_domain_change_candidate,add_source_candidate,P1,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
28,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Amanda West,missing_player_profile_candidate,add_candidate_metadata,P1,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
29,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Jyllissa Harris,loan_status_missing,add_loan_status_metadata,P1,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
30,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Liz Beardsley,missing_player_profile_candidate,add_candidate_metadata,P1,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
31,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Rebeca Costa da Silva,loan_status_missing,add_loan_status_metadata,P1,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
32,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,houston_dash,Houston Dash,Zoe Matthews,missing_player_profile_candidate,add_candidate_metadata,P1,official_team,high,yes,www.houstondynamofc.com,https://www.houstondynamofc.com/houstondash/roster/,p0_nwsl_roster_verification_first,1_roster_verification,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,houston_dash,,,,,,true,false,false,false,false,false,false,false,false,false,false
33,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,kansas_city_current,Kansas City Current,Débora Cristiane de Oliveira,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team,p0_nwsl_roster_verification_first,1_roster_verification,31,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,kansas_city_current,,,,,,true,false,false,false,false,false,false,false,false,false,false
34,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,kansas_city_current,Kansas City Current,Katie Cappelletti; Kyra Carusa; Kelsey Branson; Flora Marta Lacho,stale_or_short_term_candidate,hold_candidate_for_review,P1,official_team,medium,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team; https://www.kansascitycurrent.com/news/kansas-city-current-announces-roster-ahead-of-2026-regular-s,p0_nwsl_roster_verification_first,1_roster_verification,31,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,kansas_city_current,,,,,,true,false,false,false,false,false,false,false,false,false,false
35,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,kansas_city_current,Kansas City Current,Kaylin Williams-Mosier,missing_player_profile_candidate,add_candidate_metadata,P1,official_team,high,yes,www.kansascitycurrent.com,https://www.kansascitycurrent.com/team/kaylin-williams-mosier,p0_nwsl_roster_verification_first,1_roster_verification,31,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,kansas_city_current,,,,,,true,false,false,false,false,false,false,false,false,false,false
36,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,orlando_pride,Orlando Pride,Angelina Alonso Costantino; Luana Bertolucci Paixão; Marta Marta; Rafaelle Leone Carvalho Souza; Jacqueline Ovalle; Oihane Hernández,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,www.orlandocitysc.com,https://www.orlandocitysc.com/pride/roster/,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,orlando_pride,,,,,,true,false,false,false,false,false,false,false,false,false,false
37,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,orlando_pride,Orlando Pride,Kat Asman,loan_status_missing,add_loan_status_metadata,P1,official_team,high,yes,www.orlandocitysc.com,https://www.orlandocitysc.com/pride/roster/,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,28,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,orlando_pride,,,,,,true,false,false,false,false,false,false,false,false,false,false
38,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,san_diego_wave_fc,San Diego Wave FC,Amelia Donna Van Zanten; Gabrielle Jordão Portilho; Ludmila da Silva; Maria Eduarda Rodrigues Silva,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,sandiegowavefc.com,https://sandiegowavefc.com/roster/,p0_nwsl_roster_verification_first,1_roster_verification,25,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,san_diego_wave_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
39,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,seattle_reign,Seattle Reign,,source_domain_change_candidate,add_source_candidate,P1,official_team,high,yes,www.reignfc.com,https://www.reignfc.com/roster,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,27,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,seattle_reign,,,,,,true,false,false,false,false,false,false,false,false,false,false
40,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,utah_royals_fc,Utah Royals FC,,source_domain_change_candidate,add_source_candidate,P1,official_team,high,yes,www.rsl.com,https://www.rsl.com/utahroyals/roster/,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,27,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,utah_royals_fc,,,,,,true,false,false,false,false,false,false,false,false,false,false
41,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,washington_spirit,Washington Spirit,Heather Stainbrook,missing_player_profile_candidate,add_candidate_metadata,P1,official_team,high,yes,washingtonspirit.com,https://washingtonspirit.com/roster/,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,27,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,washington_spirit,,,,,,true,false,false,false,false,false,false,false,false,false,false
42,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,washington_spirit,Washington Spirit,Tamara Paranaguá do Carmo,public_display_alias_review,add_alias_metadata,P1,official_team,high,yes,washingtonspirit.com,https://washingtonspirit.com/roster/,p1_nwsl_local_candidate_assets_missing,3_missing_local_candidate_asset,27,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,washington_spirit,,,,,,true,false,false,false,false,false,false,false,false,false,false
43,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,nwsl_all_players,nwsl_all_players,,player_profile_candidate_gap,enrich_review_metadata_only,P1,official_league,high,yes,www.nwslsoccer.com,https://www.nwslsoccer.com/teams/index,,,,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,nwsl_all_players,,,,,,true,false,false,false,false,false,false,false,false,false,false
44,3_operator_verify_required_official,official_source_candidate,nwsl_correction_enrichment,nwsl,nwsl,National Women's Soccer League,nwsl_all_teams,nwsl_all_teams,,source_url_enrichment_needed,add_source_candidates,P1,official_league,high,yes,www.nwslsoccer.com,https://www.nwslsoccer.com/teams/index,,,,not_render_ready_review_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,nwsl_all_teams,,,,,,true,false,false,false,false,false,false,false,false,false,false
45,3_operator_verify_required_official,official_source_candidate,europe_official_source_map,europe_top_flight,frauen_bundesliga_germany,Frauen-Bundesliga,hamburger_sv_women,Hamburger SV Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium,yes,hsv.de,https://www.hsv.de/profis/team-hsv-frauen/kader-hsv-frauen,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,14,not_render_ready_source_candidate_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,hamburger_sv_women,,,,,,true,false,false,false,false,false,false,false,false,false,false
46,3_operator_verify_required_official,official_source_candidate,europe_official_source_map,europe_top_flight,frauen_bundesliga_germany,Frauen-Bundesliga,sc_freiburg_women,SC Freiburg Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_PAGE,official_team,medium_low,yes,scfreiburg.com,https://www.scfreiburg.com/frauen,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,14,not_render_ready_source_candidate_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,sc_freiburg_women,,,,,,true,false,false,false,false,false,false,false,false,false,false
47,3_operator_verify_required_official,official_source_candidate,europe_official_source_map,europe_top_flight,frauen_bundesliga_germany,Frauen-Bundesliga,tsg_hoffenheim_women,TSG Hoffenheim Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,medium,yes,tsg-hoffenheim.de,https://www.tsg-hoffenheim.de/teams/frauen/bundesliga/team,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,14,not_render_ready_source_candidate_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,tsg_hoffenheim_women,,,,,,true,false,false,false,false,false,false,false,false,false,false
48,3_operator_verify_required_official,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,Serie A Women,ac_milan_women,AC Milan Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,acmilan.com,https://www.acmilan.com/en/teams/women-first-team/all,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,not_render_ready_source_candidate_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,ac_milan_women,,,,,,true,false,false,false,false,false,false,false,false,false,false
49,3_operator_verify_required_official,official_source_candidate,europe_official_source_map,europe_top_flight,serie_a_women_italy,Serie A Women,as_roma_women,AS Roma Women,,official_source_map,source_metadata_review_only,P0_OFFICIAL_CLUB_ROSTER,official_team,high,yes,asroma.com,https://www.asroma.com/en/women/players-and-staff,p1_europe_gray_area_source_review,2_source_verification_gray_or_reputable,12,not_render_ready_source_candidate_only,Open the official source page manually and confirm league/team/player identity before future intake.,no,,as_roma_women,,,,,,true,false,false,false,false,false,false,false,false,false,false
