triage_rank,primary_manual_action,action_flags,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,display_name,source_priority_rows,official_source_candidate_rows,operator_verify_required_source_rows,source_reviewed_waiting_for_local_asset_rows,missing_local_candidate_asset_rows,candidate_id_preview,advisory_source_domains,advisory_source_candidate_urls,render_readiness,safe_next_action,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
11,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,toronto_sceptres,operator_add_player_from_league_player_index,3,3,3,0,3,toronto_sceptres_league_player_index_candidate_03 | toronto_sceptres_roster_source_candidate_01 | toronto_sceptres_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/toronto-sceptres/roster | https://www.thepwhl.com/en/teams/toronto-sceptres,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
12,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,vancouver_goldeneyes,operator_add_player_from_league_player_index,3,3,3,0,3,vancouver_goldeneyes_league_player_index_candidate_03 | vancouver_goldeneyes_roster_source_candidate_01 | vancouver_goldeneyes_team_profile_source_candidate_02,www.thepwhl.com,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/vancouver-goldeneyes/roster | https://www.thepwhl.com/en/teams/vancouver-goldeneyes,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
13,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,athlete_photo,carolina_blaze,operator_add_player_from_league_player_index,3,3,3,0,3,carolina_blaze_league_player_index_candidate_03 | carolina_blaze_roster_source_candidate_01 | carolina_blaze_team_profile_source_candidate_02,theausl.com,https://theausl.com/players/ | https://theausl.com/blaze/roster | https://theausl.com/blaze/,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
14,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,athlete_photo,chicago_bandits,operator_add_player_from_league_player_index,3,3,3,0,3,chicago_bandits_league_player_index_candidate_03 | chicago_bandits_roster_source_candidate_01 | chicago_bandits_team_profile_source_candidate_02,theausl.com,https://theausl.com/players/ | https://theausl.com/bandits/roster | https://theausl.com/bandits/,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
15,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,athlete_photo,oklahoma_city_spark,operator_add_player_from_league_player_index,3,3,3,0,3,oklahoma_city_spark_league_player_index_candidate_03 | oklahoma_city_spark_roster_source_candidate_01 | oklahoma_city_spark_team_profile_source_candidate_02,theausl.com,https://theausl.com/players/ | https://theausl.com/spark/roster | https://theausl.com/spark/,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
16,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,athlete_photo,portland_cascade,operator_add_player_from_league_player_index,3,3,3,0,3,portland_cascade_league_player_index_candidate_03 | portland_cascade_roster_source_candidate_01 | portland_cascade_team_profile_source_candidate_02,theausl.com,https://theausl.com/players/ | https://theausl.com/cascade/roster | https://theausl.com/cascade/,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
17,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,athlete_photo,texas_volts,operator_add_player_from_league_player_index,3,3,3,0,3,texas_volts_league_player_index_candidate_03 | texas_volts_roster_source_candidate_01 | texas_volts_team_profile_source_candidate_02,theausl.com,https://theausl.com/players/ | https://theausl.com/volts/roster | https://theausl.com/volts/,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
18,official_roster_team_source_check,official_roster_team_source_check|source_candidate_review|identity_source_verification|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,athlete_photo,utah_talons,operator_add_player_from_league_player_index,3,3,3,0,3,utah_talons_league_player_index_candidate_03 | utah_talons_roster_source_candidate_01 | utah_talons_team_profile_source_candidate_02,theausl.com,https://theausl.com/players/ | https://theausl.com/talons/roster | https://theausl.com/talons/,not_render_ready_review_only,"Open the official roster/team source candidates, mark source review only after manual verification, and keep identity/download fields blank.",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
19,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,boston_fleet,Boston Fleet,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/boston-fleet,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
20,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,detroit,PWHL Detroit,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/detroit,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
21,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,hamilton,PWHL Hamilton,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/hamilton,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
22,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,las_vegas,PWHL Las Vegas,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/las-vegas,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
23,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,minnesota_frost,Minnesota Frost,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/minnesota-frost,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
24,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,montreal_victoire,Montreal Victoire,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/montreal-victoire,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
25,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,new_york_sirens,New York Sirens,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/new-york-sirens,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
26,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,ottawa_charge,Ottawa Charge,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/ottawa-charge,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
27,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,pwhl,Professional Women's Hockey League,1,1,0,1,1,league_mark,www.thepwhl.com,https://www.thepwhl.com/en/,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
28,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,san_jose,PWHL San Jose,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/san-jose,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
29,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,seattle_torrent,Seattle Torrent,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/seattle-torrent,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
30,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,toronto_sceptres,Toronto Sceptres,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/toronto-sceptres,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
31,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,womens_hockey,Women's Hockey,Professional Women's Hockey League,logo,vancouver_goldeneyes,Vancouver Goldeneyes,1,1,0,1,1,primary_logo,www.thepwhl.com,https://www.thepwhl.com/en/teams/vancouver-goldeneyes,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
32,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,logo,ausl,Athletes Unlimited Softball League,1,1,0,1,1,league_mark,theausl.com,https://theausl.com/,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
33,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,logo,carolina_blaze,Carolina Blaze,1,1,0,1,1,primary_logo,theausl.com,https://theausl.com/blaze/,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
34,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,logo,chicago_bandits,Chicago Bandits,1,1,0,1,1,primary_logo,theausl.com,https://theausl.com/bandits/,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
35,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,logo,oklahoma_city_spark,Oklahoma City Spark,1,1,0,1,1,primary_logo,theausl.com,https://theausl.com/spark/,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
36,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,logo,portland_cascade,Portland Cascade,1,1,0,1,1,primary_logo,theausl.com,https://theausl.com/cascade/,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
37,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,logo,texas_volts,Texas Volts,1,1,0,1,1,primary_logo,theausl.com,https://theausl.com/volts/,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
38,source_reviewed_waiting_for_local_asset,source_reviewed_waiting_for_local_asset|missing_local_asset|future_quarantine_download_intake_prep,softball,Softball,Athletes Unlimited Softball League,logo,utah_talons,Utah Talons,1,1,0,1,1,primary_logo,theausl.com,https://theausl.com/talons/,not_render_ready_review_only,Do not restamp source review; wait for a human-supplied local candidate asset or later quarantine-download intake.,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false
