card_rank,card_priority,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,display_name_or_lane,source_proof_placeholder,official_profile_source_url_placeholder,candidate_asset_photo_status,verification_status,quarantine_download_eligibility_status,next_manual_action,open_first_file,source_or_proof_to_open,source_priority_row_ref_or_filter,readiness_row_ref,review_board_to_open,manual_intake_file_to_open,future_download_intake_file,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,logo_writes,segmentation_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis,guardrail_note
NC11,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,minnesota_frost,minnesota_frost,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/minnesota-frost/roster | https://www.thepwhl.com/en/teams/minnesota-frost,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=13-15;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=minnesota_frost,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=11,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC12,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,montreal_victoire,montreal_victoire,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/montreal-victoire/roster | https://www.thepwhl.com/en/teams/montreal-victoire,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=16-18;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=montreal_victoire,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=12,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC13,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,new_york_sirens,new_york_sirens,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/new-york-sirens/roster | https://www.thepwhl.com/en/teams/new-york-sirens,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=19-21;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=new_york_sirens,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=13,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC14,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,ottawa_charge,ottawa_charge,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/ottawa-charge/roster | https://www.thepwhl.com/en/teams/ottawa-charge,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=22-24;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=ottawa_charge,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=14,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC15,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,san_jose,san_jose,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/san-jose/roster | https://www.thepwhl.com/en/teams/san-jose,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=25-27;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=san_jose,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=15,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC16,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,seattle_torrent,seattle_torrent,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/seattle-torrent/roster | https://www.thepwhl.com/en/teams/seattle-torrent,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=28-30;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=seattle_torrent,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=16,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC17,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,toronto_sceptres,toronto_sceptres,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/toronto-sceptres/roster | https://www.thepwhl.com/en/teams/toronto-sceptres,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=31-33;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=toronto_sceptres,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=17,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC18,P0_source_identity_before_photo_review,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,vancouver_goldeneyes,vancouver_goldeneyes,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_photo_missing_named_local_asset_required,manual_official_source_verification_required,not_eligible_generated_rows_no_download;human_edited_intake_required,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/vancouver-goldeneyes/roster | https://www.thepwhl.com/en/teams/vancouver-goldeneyes,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=34-36;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=vancouver_goldeneyes,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=18,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC19,P1_local_logo_candidate_before_logo_review,softball,Softball,Athletes Unlimited Softball League,logo,ausl,ausl,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_logo_missing_local_file_required,source_metadata_reviewed_visual_identity_waiting_for_local_candidate,not_eligible_generated_rows_no_download;human_edited_intake_required,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,data/asset_registry/softball/softball_logo_contact_sheet.md,https://theausl.com/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=68;filter=sport_family=softball;asset_domain=logo;candidate_entity_id=ausl,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=19,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC20,P1_local_logo_candidate_before_logo_review,softball,Softball,Athletes Unlimited Softball League,logo,carolina_blaze,carolina_blaze,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_logo_missing_local_file_required,source_metadata_reviewed_visual_identity_waiting_for_local_candidate,not_eligible_generated_rows_no_download;human_edited_intake_required,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,data/asset_registry/softball/softball_logo_contact_sheet.md,https://theausl.com/blaze/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=69;filter=sport_family=softball;asset_domain=logo;candidate_entity_id=carolina_blaze,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=20,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC21,P1_local_logo_candidate_before_logo_review,softball,Softball,Athletes Unlimited Softball League,logo,chicago_bandits,chicago_bandits,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_logo_missing_local_file_required,source_metadata_reviewed_visual_identity_waiting_for_local_candidate,not_eligible_generated_rows_no_download;human_edited_intake_required,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,data/asset_registry/softball/softball_logo_contact_sheet.md,https://theausl.com/bandits/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=70;filter=sport_family=softball;asset_domain=logo;candidate_entity_id=chicago_bandits,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=21,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
NC22,P1_local_logo_candidate_before_logo_review,softball,Softball,Athletes Unlimited Softball League,logo,oklahoma_city_spark,oklahoma_city_spark,blank_until_human_opens_source_or_review_board,blank_until_human_records_official_profile_or_source_url,candidate_logo_missing_local_file_required,source_metadata_reviewed_visual_identity_waiting_for_local_candidate,not_eligible_generated_rows_no_download;human_edited_intake_required,Open the logo contact sheet and manual intake file; wait for a human-supplied local logo candidate or later human-edited quarantine intake before logo review.,data/asset_registry/softball/softball_logo_contact_sheet.md,https://theausl.com/spark/,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=71;filter=sport_family=softball;asset_domain=logo;candidate_entity_id=oklahoma_city_spark,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=22,data/asset_registry/softball/softball_logo_contact_sheet.md,data/asset_registry/softball/softball_logo_review_intake.csv,data/asset_registry/hockey_softball_quarantine_download_intake.csv,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false,review-only next-action card; generated URL/decision/approval/download fields stay blank/no/false and download approval is not asset approval
