priority,sport_family,sport_label,asset_domain,entity_id,display_name,candidate_id,review_state,board_to_open,contact_sheet_to_open,intake_to_fill,source_url,local_asset_path,local_asset_present,current_source_reviewed,current_identity_status,fields_to_fill_after_manual_review,fields_to_keep_blank_until_review,fields_that_must_remain_hold,next_human_action,guardrail_note
L11,womens_hockey,Women's Hockey,logo,seattle_torrent,Seattle Torrent,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/seattle-torrent,assets/leagues/womens_hockey/pwhl/teams/seattle_torrent/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L12,womens_hockey,Women's Hockey,logo,toronto_sceptres,Toronto Sceptres,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/toronto-sceptres,assets/leagues/womens_hockey/pwhl/teams/toronto_sceptres/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
L13,womens_hockey,Women's Hockey,logo,vancouver_goldeneyes,Vancouver Goldeneyes,primary_logo,source_candidate_only_local_logo_missing,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.md,data/asset_registry/womens_hockey/womens_hockey_logo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_logo_review_intake.csv,https://www.thepwhl.com/en/teams/vancouver-goldeneyes,assets/leagues/womens_hockey/pwhl/teams/vancouver_goldeneyes/logo.png,no,yes,yes,operator_decision; source_reviewed; identity_match; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,reviewed_by; reviewed_at_local; source_url_to_record,registry_action=hold_no_registry_state_change_until_local_logo_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the logo board/source page, compare mark identity, then fill the logo intake; keep registry action hold-only until a local logo asset is manually supplied and reviewed.",review-only; no downloads; no approval-state change
A01,womens_hockey,Women's Hockey,athlete_photo,boston_fleet,operator_add_player_from_team_roster,boston_fleet_roster_source_candidate_01,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/boston_fleet.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/boston-fleet/roster,assets/leagues/womens_hockey/pwhl/athletes/boston_fleet/boston_fleet_roster_source_candidate_01/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A02,womens_hockey,Women's Hockey,athlete_photo,boston_fleet,operator_add_player_from_team_profile_source,boston_fleet_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/boston_fleet.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/boston-fleet,assets/leagues/womens_hockey/pwhl/athletes/boston_fleet/boston_fleet_team_profile_source_candidate_02/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A03,womens_hockey,Women's Hockey,athlete_photo,boston_fleet,operator_add_player_from_league_player_index,boston_fleet_league_player_index_candidate_03,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/boston_fleet.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats,assets/leagues/womens_hockey/pwhl/athletes/boston_fleet/boston_fleet_league_player_index_candidate_03/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A04,womens_hockey,Women's Hockey,athlete_photo,detroit,operator_add_player_from_team_roster,detroit_roster_source_candidate_01,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/detroit.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/detroit/roster,assets/leagues/womens_hockey/pwhl/athletes/detroit/detroit_roster_source_candidate_01/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A05,womens_hockey,Women's Hockey,athlete_photo,detroit,operator_add_player_from_team_profile_source,detroit_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/detroit.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/detroit,assets/leagues/womens_hockey/pwhl/athletes/detroit/detroit_team_profile_source_candidate_02/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A06,womens_hockey,Women's Hockey,athlete_photo,detroit,operator_add_player_from_league_player_index,detroit_league_player_index_candidate_03,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/detroit.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats,assets/leagues/womens_hockey/pwhl/athletes/detroit/detroit_league_player_index_candidate_03/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A07,womens_hockey,Women's Hockey,athlete_photo,hamilton,operator_add_player_from_team_roster,hamilton_roster_source_candidate_01,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/hamilton.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/hamilton/roster,assets/leagues/womens_hockey/pwhl/athletes/hamilton/hamilton_roster_source_candidate_01/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A08,womens_hockey,Women's Hockey,athlete_photo,hamilton,operator_add_player_from_team_profile_source,hamilton_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/hamilton.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/hamilton,assets/leagues/womens_hockey/pwhl/athletes/hamilton/hamilton_team_profile_source_candidate_02/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A09,womens_hockey,Women's Hockey,athlete_photo,hamilton,operator_add_player_from_league_player_index,hamilton_league_player_index_candidate_03,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/hamilton.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats,assets/leagues/womens_hockey/pwhl/athletes/hamilton/hamilton_league_player_index_candidate_03/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A10,womens_hockey,Women's Hockey,athlete_photo,las_vegas,operator_add_player_from_team_roster,las_vegas_roster_source_candidate_01,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/las_vegas.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/las-vegas/roster,assets/leagues/womens_hockey/pwhl/athletes/las_vegas/las_vegas_roster_source_candidate_01/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A11,womens_hockey,Women's Hockey,athlete_photo,las_vegas,operator_add_player_from_team_profile_source,las_vegas_team_profile_source_candidate_02,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/las_vegas.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/las-vegas,assets/leagues/womens_hockey/pwhl/athletes/las_vegas/las_vegas_team_profile_source_candidate_02/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A12,womens_hockey,Women's Hockey,athlete_photo,las_vegas,operator_add_player_from_league_player_index,las_vegas_league_player_index_candidate_03,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/las_vegas.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats,assets/leagues/womens_hockey/pwhl/athletes/las_vegas/las_vegas_league_player_index_candidate_03/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
A13,womens_hockey,Women's Hockey,athlete_photo,minnesota_frost,operator_add_player_from_team_roster,minnesota_frost_roster_source_candidate_01,source_candidate_only_local_asset_missing,data/asset_registry/womens_hockey/athlete_photo_contact_sheets/minnesota_frost.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet.csv,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/teams/minnesota-frost/roster,assets/leagues/womens_hockey/pwhl/athletes/minnesota_frost/minnesota_frost_roster_source_candidate_01/headshot.png,no,no,no,source_reviewed; source_allowed_for_review_only; rights_reviewed; source_url_to_record; operator_notes; reviewed_by; reviewed_at_local,source_url_to_record; reviewed_by; reviewed_at_local,operator_decision=hold_identity; identity_verified=no until named athlete evidence; local_file_reviewed=no until local file exists; registry_action=hold_no_registry_state_change_until_local_candidate_asset_exists; publish_ready=false; auto_approval=false; auto_publish=false; move_files=false; paid_apis=false; asset_downloads=false,"Open the team board/source URL, confirm source/rights posture, then fill only source-review fields in the athlete intake; keep identity/local-file/approval fields held until a named athlete and local candidate asset exist.",review-only; source candidate only unless local asset exists; no headshot or marker writes
