focus_rank,priority,focus_bucket,source_surface,sport_family,sport_label,league_name,asset_domain,candidate_entity_id,display_name_or_lane,why_row_matters,exact_row_ref,source_priority_row_ref_or_filter,open_first_file,manual_intake_file_to_open,source_or_evidence_to_open,evidence_or_candidate_blocker,next_safe_operator_action,fields_mike_can_fill_now,fields_to_keep_blank_or_no,do_not_do,download_approved,source_url,entity_id,rights_class,identity_confidence,intended_review_only_use,operator_decision,operator_notes,review_only,approval_state_change,candidate_state_change,asset_downloads,headshot_writes,logo_writes,segmentation_writes,approved_marker_writes,publish_ready,auto_approval,auto_publish,move_files,paid_apis
VF11,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,minnesota_frost,minnesota_frost,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=11,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=13-15;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=minnesota_frost,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/minnesota-frost/roster | https://www.thepwhl.com/en/teams/minnesota-frost,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF12,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,montreal_victoire,montreal_victoire,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=12,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=16-18;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=montreal_victoire,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/montreal-victoire/roster | https://www.thepwhl.com/en/teams/montreal-victoire,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF13,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,new_york_sirens,new_york_sirens,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=13,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=19-21;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=new_york_sirens,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/new-york-sirens/roster | https://www.thepwhl.com/en/teams/new-york-sirens,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF14,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,ottawa_charge,ottawa_charge,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=14,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=22-24;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=ottawa_charge,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/ottawa-charge/roster | https://www.thepwhl.com/en/teams/ottawa-charge,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF15,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,san_jose,san_jose,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=15,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=25-27;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=san_jose,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/san-jose/roster | https://www.thepwhl.com/en/teams/san-jose,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF16,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,seattle_torrent,seattle_torrent,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=16,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=28-30;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=seattle_torrent,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/seattle-torrent/roster | https://www.thepwhl.com/en/teams/seattle-torrent,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF17,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,toronto_sceptres,toronto_sceptres,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=17,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=31-33;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=toronto_sceptres,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/toronto-sceptres/roster | https://www.thepwhl.com/en/teams/toronto-sceptres,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF18,P0,official_roster_source_verify_before_photo_review,asset_review_readiness,womens_hockey,Women's Hockey,Professional Women's Hockey League,athlete_photo,vancouver_goldeneyes,vancouver_goldeneyes,P0 manual blocker: official_roster_or_team_source_not_manually_confirmed_for_named_photo_review; named_local_athlete_photo_candidate_missing; row is not render-ready and must stay review-only.,data/asset_registry/hockey_softball_asset_review_readiness_board.csv#row=18,data/asset_registry/hockey_softball_source_priority_worksheet.csv#rank=34-36;filter=sport_family=womens_hockey;asset_domain=athlete_photo;candidate_entity_id=vancouver_goldeneyes,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_contact_sheet_index.md,data/asset_registry/womens_hockey/womens_hockey_athlete_photo_review_intake.csv,https://www.thepwhl.com/en/stats/player-stats | https://www.thepwhl.com/en/teams/vancouver-goldeneyes/roster | https://www.thepwhl.com/en/teams/vancouver-goldeneyes,source_and_identity_verification_required_before_local_photo_candidate,"Open review_board_to_open and advisory source URLs; verify roster/team source only, then keep photo identity and download-law fields blank until a local candidate exists.",after_manual_source_open_only:source_reviewed;source_allowed_for_review_only;rights_reviewed;operator_notes,download_approved;source_url;entity_id;rights_class;identity_confidence;intended_review_only_use;operator_decision;reviewed_by;reviewed_at_local,do not download; do not approve; do not write headshot/logo files; do not create .approved markers; do not move files; do not publish,no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF19,P0,source_map_official_action_photo_gallery_search,source_map_board,softball,Softball,Athletes Unlimited Softball League,action_photo,official_action_photo_gallery_search,official_action_photo_gallery_search,P0 source lane: AUSL/Athletes Unlimited event-gallery lead; player/team/session context and caption clues; limitation: URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,data/asset_registry/hockey_softball_source_map_board.csv#row=9,,data/asset_registry/hockey_softball_source_map_board.csv,data/asset_registry/hockey_softball_source_research_return_intake.csv,"""[athlete]"" AUSL softball action gallery OR recap site:theausl.com OR site:auprosports.com",URL/search lead only; no files may be downloaded and no render-feed trust changes from this board.,Paste URL/evidence leads into the human-edited source research return intake; keep download and approval fields blank/no.,manual_source_notes_only_after_human_open,download_approved=no; source_url; entity_id; rights_class; identity_confidence; intended_review_only_use; operator_decision,"do not fetch source pages from this artifact; do not copy search macros into download-law source_url; do not download, approve, move, or publish",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF20,P0,source_map_official_roster_team_player_pages,source_map_board,softball,Softball,Athletes Unlimited Softball League,athlete_photo,official_roster_team_player_pages,official_roster_team_player_pages,P0 source lane: official roster/team/profile identity anchor; not roster truth until manual confirmation; limitation: does not provide a local headshot/action-photo asset and does not approve identity or source rights automatically,data/asset_registry/hockey_softball_source_map_board.csv#row=8,sport_family=softball;asset_domain=athlete_photo,data/asset_registry/hockey_softball_source_map_board.csv,data/asset_registry/hockey_softball_source_verification_checklist.csv,https://theausl.com/players/,does not provide a local headshot/action-photo asset and does not approve identity or source rights automatically,"Open the source verification checklist; after manual source-page review, fill source-review fields only and keep identity/local-file approval held.",manual_source_notes_only_after_human_open,download_approved=no; source_url; entity_id; rights_class; identity_confidence; intended_review_only_use; operator_decision,"do not fetch source pages from this artifact; do not copy search macros into download-law source_url; do not download, approve, move, or publish",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
VF21,P0,source_map_official_logo_league_team_pages,source_map_board,softball,Softball,Athletes Unlimited Softball League,logo,official_logo_league_team_pages,official_logo_league_team_pages,P0 source lane: league/team mark identity source candidate; not a local logo asset; limitation: source page is not a downloadable asset and does not approve renderer trust without local candidate review,data/asset_registry/hockey_softball_source_map_board.csv#row=7,sport_family=softball;asset_domain=logo,data/asset_registry/hockey_softball_source_map_board.csv,data/asset_registry/hockey_softball_intake_readiness_summary.csv,https://theausl.com/,source page is not a downloadable asset and does not approve renderer trust without local candidate review,Use logo contact sheet and intake readiness summary; keep registry hold-only until local logo candidate and separate human approval exist.,manual_source_notes_only_after_human_open,download_approved=no; source_url; entity_id; rights_class; identity_confidence; intended_review_only_use; operator_decision,"do not fetch source pages from this artifact; do not copy search macros into download-law source_url; do not download, approve, move, or publish",no,,,,,,,,true,false,false,false,false,false,false,false,false,false,false,false,false
